SpeakerId,EventId,SpeakerOrder,FirstName,LastName,Title,Topic,Facebook,Email,Website,Twitter,Description,PhotoUrl,ScheduleDate,Session,CreateDate,CreateBy
36,1,36,Heiner ,Kroke,"CEO, Ricardo",,,,,,"Heiner Kroke was appointed CEO of the ricardo Group of companies, Europe’s leading auction and e-commerce network, in 2008. In this role, he is responsible for strategy, corporate development, and operations of all brands and online portals within the ricardo Group in Switzerland, Germany, Greece, Norway, and Denmark. Prior to this Heiner held senior leadership positions at eBay.de. He also gained management experience at Boston Consulting Group (BCG) as well as at Bertelsmann AG. At BCG, he was project leader at the Frankfurt office overseeing a wide range of internet and e-commerce projects in different European countries. Following that, Heiner Kroke was appointed Vice President business development at Bertelsmann, in charge among other projects of their e-commerce and book clubs (Direct Group). Heiner Kroke studied economics in engineering at the University Karlsruhe. He is married and has a daughter.",http://naspers.com/cmsAdmin/uploads/thumb/internet_heiner_kroke.jpg,,2,7/7/11,Brook
43,1,44,Nico ,Meyer,"CEO, Multichoice",,,,,,"MultiChoice South Africa’s Chief Executive Officer Nico Meyer, was appointed to his current position in October 2009. Prior to this Nico was the CFO of MultiChoice SA in the period 2003-2009. During his tenure as CFO his responsibilities have included key strategy formulation, ultimate financial responsibility, and he has, notably, spearheaded implementation of corporate governance risk management, trusteeship on medical aid and pension funds, and crucially, BEE compliance.Working closely with Nolo Letele, he has helped oversee a phenomenal million plus decoders sold, a change in business strategy, which addressed the emerging market and the introduction of a new bouquet, DStv Compact, as well as the introduction of the incredibly popular PVR.",http://naspers.com/cmsAdmin/uploads/thumb/paytv_nico_meyer.jpg,,3,7/7/11,Brook
40,1,40,Collins ,Khumalo,"President, Multichoice Africa",,,,,,"Since joining the company 13 years ago, Collins has worked in several senior management positions across MultiChoice Africa’s major operations, and has gained a comprehensive understanding of the pay television industry across the continent. He has worked in some of the most challenging projects and markets across Africa. As the company gears for the next stage of development, Collins will provide strategic leadership in the company’s move to consolidate its footprint in the broader African and global landscape.",http://naspers.com/cmsAdmin/uploads/thumb/paytv_collins_khumalo.jpg,,3,7/7/11,Brook
42,1,43,Glen ,Marques,"CEO Myriad Programming, Multichoice",,,,,,"Glen Marques began his career with the Naspers group in 1997 as director of business development for SuperSport International Holdings Limited and in 1999 he was appointed chief operations officer of SuperSport. Prior to joining the group, he worked as senior legal adviser to the South African Independent Broadcasting Authority and executive director of the National Association of Broadcasters. He was appointed as M-Net chief executive officer in May 2000. In 2008 Glen was appointed CEO of MediaZone Inc based in San Francisco. In 2009 the business was relocated to South Africa and consolidated into DSTV On-Line the business unit that houses all of the Multichoice new media operations.",http://naspers.com/cmsAdmin/uploads/thumb/paytv_glen_marques.jpg,,3,7/7/11,Brook
39,1,39,Rudi ,Jansen,"CEO, MWEB Group",,,,,,"Rudi Jansen completed a B.Compt (Hons) degree at Unisa in 1990 where after he qualified as a Chartered Accountant (SA). He joined Coopers & Lybrand (now known as PriceWaterhouseCoopers) in 1990 and after completing articles in 1993, continued his career including a secondment to the Cayman Islands. In 1996 he joined MIH Holdings Limited and MCell Limited, as Group Management Accountant. During 1997, as one of MWEB's first employees, Rudi joined MWEB as head of finance. During 2003 to 2005 Rudi was the CFO of MIH's Internet segment and rejoined MWEB in 2005 as CEO of the ISP Division (MWEB).",http://naspers.com/cmsAdmin/uploads/thumb/paytv_rudi_jansen.jpg,,3,7/7/11,Brook
51,1,51,John ,Relihan,"CEO Magazines, Media24",,,,,,"John has been in the media industry in South Africa for almost thirty years. His career spans newspapers, books, music, online retail and magazines. Started his career as a journalist; was involved as editor in the launch of the group’s first free community newspaper; held various editorial positions such as motoring editor and edited a regional edition (Eastern Cape) of a major daily newspaper – Die Burger. Became General Manager of Media24’s book and music clubs and launched Kalahari.net (Africa’s largest online retailer). For the past seven years involved in magazine publishing in Media24. Responsible for the general interest (family orientated), travel and motoring titles. The portfolio of some fourteen titles are diverse and includes from the largest weekly magazines in South Africa (Huisgenoot and You) to a fledgling monthly comic magazine (Mshana) aimed at young males. Appointed as CEO: Media24 Magazines as from 1 March 2008.",http://naspers.com/cmsAdmin/uploads/thumb/print_john_relihan.jpg,,5,7/7/11,Brook
54,1,54,Stephen,van der Walt,"CEO, Paarl Media Group, Media24",,,,,,"Stephen van der Walt began his career with the Naspers group in 2000 as group financial director of Paarl Media Holdings. In 2004 he was appointed chief operating officer of Paarl Media Holdings, and in 2005 chief executive officer of Paarl Media Holdings.",http://naspers.com/cmsAdmin/uploads/thumb/print_stephen_vd_walt.jpg,,5,7/7/11,Brook
6,1,6,Mark ,Sorour,"Group Chief Investment Officer, Naspers",,,,,,"Mark Sorour is a qualified Chartered Accountant who previously held various positions in the audit and corporate finance divisions of PricewaterhouseCoopers. After qualifying he spent 5 years as an investment banker. In 1994 he joined MIH, the international division of the Naspers group, where he headed up business development throughout Africa, the Middle East, Thailand, China, Europe, USA and Asia. This included being relocated to Hong Kong and the Netherlands as corporate finance and acquisitions general manager. With the restructure of the Naspers group in 2002, Mark returned with his family to Cape Town as Chief Investment Officer, heading up the corporate finance and M&A function for the Naspers and MIH groups.",http://naspers.com/cmsAdmin/uploads/thumb/corporate_mark_sorour.jpg,,1,7/7/11,Brook
90,1,72,Charles ,Searle,"Chief Investment Officer, MIH Internet",,,,,,"Charles Searle is currently the Chief Investment Officer for the MIH Internet Group, based in Hong Kong. Prior to joining MIH, he held various corporate finance positions at Cable & Wireless plc and Hong Kong Telecom. Prior to Cable & Wireless plc, he was a senior corporate finance manager at Deloitte & Touche in London and Sydney. Mr Searle serves on the boards of a number of companies that are subsidiaries of or associated with MIH, including Tencent Holdings Limited, a leading Chinese Internet company listed on the Hong Kong Stock Exchange, and Mail.ru, a leading Russian Internet company. He graduated from the University of Cape Town in 1987 with a Bachelor of Commerce degree and is a member of the Institute of Chartered Accountants in Australia.",http://naspers.com/cmsAdmin/uploads/thumb/internet_charles_searle.jpg,,2,7/7/11,Brook
87,1,69,Oliver ,Rippel,"CEO, MIH Internet Africa, India, Middle East and Southeast Asia",,,,,,"Oliver Rippel was appointed CEO Ecommerce Africa & Middle East by MIH Internet in July 2009. This business includes various internet assets including Kalahari.net, Leisure Books, and Pricecheck in South Africa, as well as Mocality and Dealfish  in several other African countries. He was recently appointed to head up internet divisions in India and Southeast Asia as well, including Ibibo in India and Multiply in Southeast Asia. He joined Naspers in January 2009 as Head of Business Development in Southeast Asia before relocating to Cape Town, South Africa. Prior to working for Naspers, Oliver spent nine years at eBay - first in his home country Germany and then as part of the Asia-Pacific region in China, Korea, and Southeast Asia. There he mostly focused on strategy, business development, as well as category management and marketing operations. Oliver studied economics in Berlin, Germany. He is married and has two children.",http://naspers.com/cmsAdmin/uploads/thumb/internet_oliver_rippel.jpg,,2,7/7/11,Brook
11,1,11,Fabrício ,Bloisi,"CEO, Movile",,,,,,"Fabrício Bloisi is one of the founders and CEO of Movile (formerly Compera nTime), one of the largest mobile value added services companies in Brazil and pioneer in launching services such as mobile user generated content, mobile communities, mobile marketing, SMS voting, Mobile TV, alerts and mobile personalization. Fabricio has a Bsc in Computer Science (UNICAMP) and a MBA/MSC (FGV-EAESP). He started in the mobile industry in 2000, as the founder of Compera nTime and has actively participated in initiatives with the goal to accelerate the growth of VAS industry in Brazil, including as Chairman of Amcham Mobile Business comitee and Director of AMMB (Mobile Marketing Association of Brazil).",http://naspers.com/cmsAdmin/uploads/thumb/internet_fabricio_bloisi.jpg,,2,7/7/11,Brook
85,1,67,Peter ,Pezaris,"President & CEO, Multiply",,,,,,"Peter is in charge of all product development and strategic direction of the company. Prior to Multiply, Peter served as CBS SportsLine's President of Operations and Product Development where he was responsible for technology and computer operations as well as programming and production. In this role, Peter oversaw the operations of nfl.com, pgatour.com,cbs.sportsline.com, and mvp.com, which serve billions of pages annually to tens of millions of customers. In 2003, Peter was named to the Sports Business Journal's ""Forty Under 40"" list, which recognizes the most promising young executives in the sports business. Peter joined SportsLine when it acquired DWWC. Prior to DWWC, Peter was a systems and software developer for the investment banking firms of Bankers Trust and Salomon Brothers.",http://naspers.com/cmsAdmin/uploads/thumb/peter_pezaris.jpg,,2,7/7/11,Brook
34,1,34,Ashish ,Kashyap,"CEO, Ibibo",,,,,,"Ashish Kashyap set up and launched ibibo.com in January 2007. Prior to his current position, Ashish set up and launched Google India’s domestic operations as their Country Head, Indian Sales and Operations. Before joining Google India, Ashish was the General Manager, E-Commerce at Indiatimes.com, wherein he built and architected a host of innovative application for the portal ranging from ‘Online auctions’, travel & shopping. Ashish holds an ""Economics (Honors)"" from University Of Delhi, India and an ""International Masters in Practicing Management (IMPM)"" from Insead, Fontainebleau, France.",http://naspers.com/cmsAdmin/uploads/thumb/internet_ashish_kashyap.jpg,,2,7/7/11,Brook
102,1,84,Grzegorz,Wojcik,"CEO / General Director Allegro, Group",,,,,,"Grzegorz Wójcik is CEO/General Director of
Allegro Group. Grzegorz joined the Group in the
end of 2009 as IT Director & CIO, responsible for
all IT operations and development. Since summer
2010 he has been additionally running multiple
Allegro businesses as head of international
operations and member of management team.",http://naspers.com/cmsAdmin/uploads/thumb/internet_ma_hauteng.jpg,,2,7/7/11,Brook
37,1,37,Eben ,Greyling,"CEO Pay-TV Platforms, MIH",,,,,,"Eben Greyling joined the MIH group in 1996 as group financial manager of MultiChoice. In 1997 he was appointed general manager operations and in 1999 CFO of MultiChoice. In 2000 he became CFO of MIH pay-television platforms, a position he held until his appointment as CEO of MultiChoice Sub-Saharan Africa in 2005. Eben is a Chartered Accountant and completed his articles at Pricewaterhouse Coopers. He held various positions in the audit and corporate finance division of PricewaterhouseCoopers until 1995.",http://naspers.com/cmsAdmin/uploads/thumb/paytelv_eben_greyling.jpg,,3,7/7/11,Brook
44,1,45,Imtiaz ,Patel,"Group CEO, Multichoice",,,,,,"Prior to joining the group, Imtiaz was the Director of Professional Cricket at the United Cricket Board of South Africa (UCBSA). He joined SuperSport in 2000 as its Director of Enterprises and later also assumed the role of Head of Production. In March 2005 he was appointed as CEO of SuperSport. During his term of office, Imtiaz completed the Harvard Senior Executive Programme at the Business Schools of the Universities of the Witwatersrand and Harvard. He was responsible for the transformative broadcast rights deal with the PSL and received the prestigious Naspers Phil Weber award in 2009. In this time SuperSport has increased the number of channels it transmits, from 9 to 24, broadcasting throughout sub- Saharan Africa.",http://naspers.com/cmsAdmin/uploads/thumb/paytv_imtiaz_patel.jpg,,3,7/7/11,Brook
41,1,42,John ,Kotsaftis,"CEO, DStv Online",,,,,,John Kotsaftis joined DStv Online as the CEO in June 2009 - where he is currently kept busy driving the emergence and evolution of Video 2.0 in Africa.,http://naspers.com/cmsAdmin/uploads/thumb/paytv_john_kotsaftis.jpg,,3,7/7/11,Brook
46,1,46,Graham ,Kill,"CEO, Irdeto",,,,,,"Graham Kill joined Irdeto as finance and operations director and became CFO in 1995. He assumed the position of chief executive officer of Irdeto in 1998. Prior to that, Graham held management positions at USC, British Gypsum and the British Coal Corporation. Prior to joining Irdeto, Graham worked for the FilmNet Group (later NetHold) as a corporate finance associate. He was actively involved in pay TV business development initiatives, various acquisitions and in financing transactions. Graham holds an MBA from the Rotterdam School of Management and an engineering degree from the University of Nottingham. He is a registered European Engineer, a Chartered Engineer and a Chartered Director in the UK.",http://naspers.com/cmsAdmin/uploads/thumb/technology_graham_kill.jpg,,4,7/7/11,Brook
93,1,75,Esmaré ,Weideman,"CEO, Media24",,,,,,"In a career spanning more than 25 years, almost 10 of them as Editor of South Africa's highly profitable weekly news/entertainment magazines, Esmarè is one of the leading editors of her generation in Africa. As the new CEO of Media 24, Esmarè looks forward to improving content, delivery and commercial success and to capital- ise on the opportunities offered by the digital age.",http://naspers.com/cmsAdmin/uploads/thumb/Esmare_Weideman.jpg,,5,7/7/11,Brook
47,1,47,Hein ,Brand,"CEO, MIH Latam",,,,,,"Hein Brand joined the Naspers group in 1998 as finance executive. He is a former financial director of Bonnita (Proprietary) Ltd. He is a former financial director of Media24, chief executive officer of Via Afrika and later managing director of Media24. He was appointed as chief executive of MIH Internet Latin America in August 2008, but retained responsibility for all MIH print media investments outside of Africa, most notably the investment in the leading Brazilian magazine publisher Abril and three Chinese print investments.",http://naspers.com/cmsAdmin/uploads/thumb/print_hein_brand.jpg,,5,7/7/11,Brook
67,2,12,Peter ,Thiel ,Founders Fund,,,,,,"“Peter demonstrated rare and essential abilities as a CEO, guiding PayPal from a highly  risky uncertain dot-com to an extremely stable established high gross margin business.  Peter has many talents, including analytic brilliance, razor sharp focus, and high speed  execution. Highly recommended.” – Reid Hoffman  “Peter  is a visionary, a  financial genius, a philosopher, and perhaps most  important, a  man who is willing to listen even when he thinks someone is wrong. That's a minor  miracle in someone who's accomplished all he has, but it is indicative of his character,  which is sterling. He will surely change the world, probably many times. And there will  be a great many of us cheering him on all the way.”   “To be successful in Silicon Valley, you need to be contrarian and right. Although many  people describe themselves as contrarian, Peter is one of the few who have earned the  distinction. He also is better than anyone else I have ever worked with at decisively  resolving what path to take under conditions of real uncertainty. And he probably  assesses and recruits talented young employees better than anyone too.” ",https://lh6.googleusercontent.com/-za6u3nmBcJg/ThfuGvco3dI/AAAAAAAAAaU/zyX39J8Ehts/Pic%252520at%25252010.55.12%252520PM.png,,17,7/8/11,Fokenwort
71,2,16,Steve ,Douty ,"Head of Applications, Yahoo",,,,,,"Steve is an internet veteran, having started in the  industry in 1996 when he was  employee number 5 at Hotmail, where he was responsible for running marketing, sales  and business development.  Steve is the man to say  ‘thank you’ to for jumpstarting the  free Web-based e-mail and making the user experience extremely simple, including  getting a new personal e-mail address within a minute of entering the site and sending  a message in the 2nd minute.  When the Hotmail base hit 10 million users, he led the  effort that resulted in the sale of Hotmail to Microsoft.  He then spend some years at  Microsoft, overseeing its ventures into the Internet space, including MSN.com.  After he  left Microsoft, he founded Octopus.com in 1999, a content aggregation service which  enabled users to personalize web content.  Octopus was acquired by AskJeeves 2 years  later.  Steve recently joined Yahoo to oversee Flickr.  One of the tasks he has set himself  this year is to really dramatically improve the user experience and to make Flickr the  premier place for sharing photos with those people that you care about the most.    Steve lives in San Francisco with 3 children and takes lots of photos. ",https://lh4.googleusercontent.com/-KNwmDyNKIXM/ThfuH5HltcI/AAAAAAAAAa4/ogRuwlPgQ44/Pic%252520at%25252010.55.39%252520PM.png,,14,7/8/11,Fokenwort
73,2,18,Vincent ,Dureau ,Head of TV Technology at Google,,,,,,"Vincent is well-known within the MIH group, being the founder of OpenTV, a provider  of software solutions for PayTV operators.  Educated in France, holding MS degrees  from Universite Paris VII in Applied Mathematics and Ecole Nationale Superieure des  Telecommunicayion in Computer Science, Vincent joined Thompson Consumer  Electronics in 1984 at their research department in France, later being transferred to  LA, California.  In 1994, he  founded OpenTV, which was subsequently acquired by the  MIH Group, where he was the CTO.   In 2006, he joined Google’s YouTube acquisition as  Head of TV Technology, where he is an evangelist who claims that TV’s can be used for  more than just video and that shelf space should be as big as the web for all TV content.   Despite working with TV, he doesn’t watch it but tests it.  His favourite test material is  Battlestar Galactica, Life on Discovery, AlJazeera’s newcasts and these days, NBA.   Beside testing TV  software,  he  uses  tv’s  to  listen  to  lastfm  and  Pandora  to  hear  the  music through the nice speakers. ",https://lh5.googleusercontent.com/-caQUhd1rr9I/ThfuHLSNQOI/AAAAAAAAAag/IoI2ap1_bsY/Pic%252520at%25252010.55.57%252520PM.png,,3,7/8/11,Fokenwort
60,2,5,Jimbo ,Wales ,Founder of Wikipedia,,,,,,"Jim hales from Alabama where he attended  high-school  and  earned  bachelor’s  and  master’s degrees  in  finance.   While still  in graduate school, he  taught at 2 universities  before completing a PhD in order to take in job in finance and later worked as research  director of a Chicago futures and options firm.  In 1996, Jim and 2 partners founded  Bomis, a male-orientated web portal.  Bomis created and hosted web rings round  search  tems popular among male users categorized broadly as  ‘babe’,  ‘entertainment’,  ‘sports’, ‘adult’ and ‘other’ were the most frequently updated and the most popular.   Bomis Premium offered customers access to premium X-rated pornographic content.   The financial proceeds of Bomis were used to provide the initial funding for the peer- reviewed free encyclopedia Nupedia (died in 2003) and its successor, Wikipedia.  Jimbo is the founder of Wikipedia and serves on the board of Trustees of the Wikipedia  Foundation, a non-profit charitable organization he helped establish to operate  Wikipedia, holding its board-appointed  ‘community  founder’ seat. Ji mbo believes that  through the work of Wikipedia, every single person on the planet will have easy low  cost access to free knowledge to empower them to do whatever it is that they want to  do.  By using a model of sharing a co-operation, Wikipedia has become one of the  largest wedsites in the world.  Jimbo describes himself as a anticredentialist, which  means that amateurs can have as much to contribute as professionals and that talent  can be found anywhere. ",https://lh5.googleusercontent.com/-9s_yVJc_1r0/ThfuIH9BwYI/AAAAAAAAAa0/QdnGSs3pipg/Pic%252520at%25252010.54.36%252520PM.png,,7,7/8/11,Fokenwort
63,2,8,Marc ,Andreessen,"General Partner, Andreessen Horowitz",,,,,,"  Marc has been described as the Internet’s first boy wonder but nowadays describes  himself on his LinkedIn page as an entrepreneur, venture capitalist, and software  engineer.  Marc graduated in 1993 from the University of Illinois.  During his studies, he  worked as programmer for IBM and National Center for Supercomputing Applications.   After graduation he worked the whole of 3 months for Enterprise Integration  Technologies before co-founding Netscape in April 1994.  In October 1998, Marc joined  AOL as Chief  Technology Officer for 11 months, after which he co-founded 3 more  companies, LoudCloud, Opsware and Ning.  Marc is a general partner at Andreessen  Horowitz, a venture capital company which has equity stakes in all four of the highest- valuation privately  held social media companies, Facebook, Twitter, Groupon and  Zynga.  Mark describes his specialties as creating new technologies, starting companies  and scaling them up. ",http://online.wsj.com/media/AndreesenDigits_0602_D_20110602100306.jpg,,15,7/8/11,Fokenwort
70,2,15,Scott ,Cook ,"Founder, Intuit",,,,,," Scott David Cook started his career at Procter &  Gamble where he learned about  product development, market research and marketing.  He began using the insights he  was learning there to look for an idea for a company of his own.  That idea came one  day when his wife was complaining about paying the bills.  With PC’s just coming out at  that time, Scott thought there might be a way for basic software that would help people  pay their bills.  He launched Intuit in 1983, a company which develops and markets  business and financial management software solutions  for small and medium sized  companies, with revenues of U$3.5bn and net income for the financial year ending July  2010 of U$575m.    Besides being a board member of Intuit, Scott also serves on the board of eBay and  Procter & Gamble, where he is Chairman of the Innovation and Technology Committee.   Scott holds a Bachelor of Arts degree in Economics and Mathematics of the University  of Southern California and an MBA from Harvard.   ",https://lh6.googleusercontent.com/-k6Uetw2UQFE/ThfuHn-I9yI/AAAAAAAAAao/4Z-5pwl75UQ/Pic%252520at%25252010.55.30%252520PM.png,,16,7/8/11,Fokenwort
